0.Variable; GVL.rActualBeamPos;;;;1.Variable;; GVL.rBallFeedback;;
0.Address.AddrFlags; 0x00000000;;;;1.Address.AddrFlags;; 0x00000000;;
0.Class;15;;;;1.Class;;14;;
0.Size;8;;;;1.Size;;4;;
0.GraphColor;4278190335;;;;1.GraphColor;;4278222848;;
0.GraphType;8;;;;1.GraphType;;8;;
0.MinWarningColor;4278190080;;;;1.MinWarningColor;;4278190080;;
0.MaxWarningColor;4294901760;;;;1.MaxWarningColor;;4294901760;;
0.CriticalLowerLimit;0;;;;1.CriticalLowerLimit;;0;;
0.CriticalUpperLimit;0;;;;1.CriticalUpperLimit;;0;;
0.ActivateMinWarning;0;;;;1.ActivateMinWarning;;0;;
0.ActivateMaxWarning;0;;;;1.ActivateMaxWarning;;0;;
0.YAxis;0;;;;1.YAxis;;0;;
0.Data;; ;;;1.Data;;; ;
;;1; 5.0001000000000007;;;;;1; -47.158901214599609
;;3; 5.0001000000000007;;;;;3; -47.081329345703125
;;5; 4.9998000000000005;;;;;5; -47.46917724609375
;;7; 4.9998000000000005;;;;;7; -48.244880676269531
;;9; 5.0001000000000007;;;;;9; -48.477592468261719
;;11; 5.0001000000000007;;;;;11; -49.17572021484375
;;13; 4.9998000000000005;;;;;13; -48.400016784667969
;;15; 5.0001000000000007;;;;;15; -47.624320983886719
;;17; 5.0004;;;;;17; -47.081329345703125
;;19; 5.0004;;;;;19; -48.012168884277344
;;21; 5.0004;;;;;21; -47.701889038085938
;;23; 5.0001000000000007;;;;;23; -47.546749114990234
;;25; 4.9998000000000005;;;;;25; -47.701889038085938
;;27; 4.9998000000000005;;;;;27; -47.857028961181641
;;29; 4.9994000000000005;;;;;29; -46.615909576416016
;;31; 4.9994000000000005;;;;;31; -45.529930114746094
;;33; 4.9994000000000005;;;;;33; -45.6850700378418
;;35; 5.0001000000000007;;;;;35; -46.460769653320313
;;37; 5.0001000000000007;;;;;37; -46.926189422607422
;;39; 5.0004;;;;;39; -46.538337707519531
;;41; 5.0008;;;;;41; -46.848617553710938
;;43; 5.0004;;;;;43; -47.314041137695313
;;45; 5.0001000000000007;;;;;45; -47.158901214599609
;;47; 5.0001000000000007;;;;;47; -47.701889038085938
;;49; 4.9998000000000005;;;;;49; -48.012168884277344
;;51; 4.9998000000000005;;;;;51; -48.477592468261719
;;53; 4.9994000000000005;;;;;53; -48.710300445556641
;;55; 4.9998000000000005;;;;;55; -48.865440368652344
